order_id,city_tier,customer_age,customer_loyalty_score,order_hour,order_day_of_week,order_month,delivery_distance_km,preparation_time_minutes,delivery_time_minutes,estimated_delivery_time,traffic_level_score,weather_severity_score,restaurant_rating,delivery_partner_rating,customer_rating,order_value,delivery_fee,discount_amount,tip_amount,final_amount_paid,number_of_items,cancellation_flag,delayed_delivery_flag,refund_flag,promo_code_used,premium_customer_flag,festival_or_weekend_flag,delivery_partner_experience_years,delivery_efficiency_score
5a87c6ab-e4a8-44ef-8852-f7a63e3b3943,2,21,4.957522428850114,20,6,6,14.117143543453489,23,76,68,5.4,2.6,4.3,4.1,2.9,100.0,14.592602317472116,22.969359305856518,19.940541166559257,111.56378417817486,4,False,False,True,False,False,True,9,71.1
8eab78a5-a5c5-41d7-9a5f-5779ee5f2d3d,1,63,38.74472105988619,0,2,2,9.17735390244908,16,34,40,1.0,1.6,4.0,4.2,3.4,100.0,4.391720338243816,4.43440521350725,16.101949194832184,116.05926431956875,7,False,False,False,True,False,False,12,100.0
1338cc5b-e5cf-419f-a7c9-4a2577608715,1,68,45.17099659791848,9,2,11,34.753920932100336,41,152,142,8.3,4.1,4.4,4.2,3.7,100.0,9.006406983600906,14.979691243698571,17.681454019662223,111.70816975956457,12,False,False,False,False,False,False,10,34.4
5277f2fb-b1b3-4f58-9975-12f8f1b71421,2,30,10.573003110117762,6,6,5,26.596184132460515,9,93,93,3.2,8.8,4.8,4.6,4.1,145.11344229967816,11.407034164908447,14.813043578645576,11.5939124032116,153.3013452891526,7,False,False,False,False,True,True,1,45.0
df159a97-3a78-4b08-a524-ec433c75b670,2,60,58.28462016211871,12,1,9,26.204151843529942,49,141,134,7.5,9.5,4.0,3.9,4.6,100.0,11.572231880181366,13.716307506512232,13.272883006749389,111.12880738041852,2,True,False,False,False,False,False,6,25.1
5e180dec-043d-4300-aba6-271dab40edfc,3,40,83.62200131527764,19,5,12,5.3803229928468665,57,62,68,1.0,4.5,4.0,3.9,4.4,100.0,4.548618428789869,19.385077075879316,1.96461466342594,87.12815601633648,5,False,False,False,False,False,False,4,73.6
13643241-8c6c-48a4-8d03-863deafeb216,2,47,73.19531511681487,16,1,4,29.84901423588295,16,93,109,5.1,7.8,4.8,4.7,3.4,100.0,5.429356359653914,28.722768618973664,7.137641812819553,83.8442295534998,3,False,False,False,True,True,False,10,58.9
7fc48f3b-b50b-44d8-ae6b-73085c131aa5,3,57,84.82372194034167,2,4,8,6.622346152381506,32,40,53,1.0,5.9,4.4,4.0,3.8,100.0,9.863758190204267,0.2980668317634505,7.805911183821787,117.37160254226261,3,False,False,False,True,False,False,13,96.6
70d9ed9f-fe98-4144-b00d-7ee169bf9d40,3,20,45.12800961200261,21,1,10,9.29136381553333,13,83,63,7.3,9.8,3.9,3.7,4.0,113.17980153800114,9.45154297219304,5.640877500511399,5.358307602124032,122.34877461180682,6,True,True,False,False,False,False,1,39.3
2b538d8f-4edb-492d-aa1b-ebdd76392762,1,45,0.6287036735567075,22,4,4,34.269145298308736,37,126,131,8.0,0.1,4.3,4.0,3.9,107.00488621863137,4.419054872104835,13.392115344670096,24.226172731787944,122.25799847785407,7,False,False,False,False,True,False,10,51.4
9884ece6-b0ed-46fd-b09d-bc88f2fa6696,3,65,10.273937714161896,3,3,7,6.784405636737118,39,65,56,3.4,0.7,3.9,4.1,3.9,100.0,13.665890096578664,26.53865141519075,19.76915665970019,106.89639534108812,11,False,False,False,True,False,False,14,91.4
6c18817e-43ba-4f03-8825-382fed10da1f,3,55,54.99085293598741,8,1,10,20.45162927235563,13,77,87,7.3,7.5,3.9,4.8,3.1,100.0,8.110444529628468,29.89443058026074,24.027254341152336,102.24326829052006,7,True,False,False,True,False,False,7,56.0
1c855b63-19b7-49c4-808e-950e4d7b5af8,2,25,19.479309117418453,21,2,7,14.808219580231285,51,89,88,1.0,5.3,4.2,4.6,3.4,184.3047455909467,11.763377498333146,22.781223685693448,9.558904343127702,182.8458037467141,9,False,False,False,False,True,False,3,59.8
50cfe790-d67a-4a0b-a76a-6fdd3f38f1d1,3,44,32.412423843635466,12,6,3,25.244150195530494,42,121,118,3.4,9.7,3.2,4.7,3.8,154.20302415406394,11.309833827818608,4.272135833601879,24.45474371093469,185.69546585921535,1,False,False,False,False,True,True,1,32.0
bf5a7955-9a42-4311-babc-17f186a72e88,3,31,57.37643488853268,5,5,6,12.160549734667295,27,107,84,8.9,9.6,3.3,4.5,2.3,100.0,0.2125870300054888,19.35432345419224,22.294485068482857,103.15274864429611,7,True,True,False,True,False,False,4,32.2
1c1531d7-1444-4cfd-97d4-83431d6a5fdf,1,47,68.72204697685869,7,3,12,2.603332041050326,18,36,39,4.0,7.0,3.8,4.6,4.4,100.0,2.0897908749290126,10.049417738374723,10.38506094977193,102.4254340863262,8,True,False,False,False,False,False,5,76.1
c15a5b02-012c-46df-923a-e167418e77d0,1,37,80.79981013895092,18,1,11,1.0463048608756416,47,41,47,2.3,1.5,3.6,3.9,3.2,123.4952188439025,5.736639116217848,8.991310652335562,15.553957526934278,135.79450483471908,4,False,False,False,False,False,False,11,96.6
75301507-aa69-47d5-b1d2-b34e64f6454f,2,40,31.582671565980704,8,5,6,26.9033981194277,47,128,125,3.8,8.1,4.2,4.1,4.4,100.0,9.220864025841855,7.663411734039008,23.75280093168166,125.31025322348451,11,False,False,False,False,False,False,15,56.0
3cfe44aa-522e-4761-a93f-1af2af908c76,3,67,59.09794155420708,2,1,9,38.20046975426742,30,137,144,9.1,4.3,3.7,3.8,4.3,100.0,13.010208329438308,7.769723961645056,18.125868301363976,123.36635266915722,8,False,False,False,False,False,False,14,45.8
8df7712a-4ba1-4235-abf3-b9149fb8595f,1,64,24.12801610292856,9,1,5,14.802954750232676,26,93,90,9.8,8.7,3.5,4.1,3.7,100.0,11.600938236240529,29.88527119073253,11.637334158933012,93.353001204441,12,False,False,False,True,False,False,13,53.6
20d8669d-e220-4825-bba6-9360dc68c5bb,3,59,90.352146651024,3,4,12,36.14146230381196,29,126,126,4.1,2.5,4.8,4.5,4.6,100.0,2.1012463049095365,20.733671581644696,3.3336495330036686,84.7012242562685,2,False,False,False,True,False,False,12,59.2
d170394b-b81d-441c-b0a6-291be1406b64,3,51,89.94395500413242,8,1,7,24.025639862584445,56,105,111,1.9,1.4,4.0,4.3,4.4,182.96081712611684,14.838591991651343,11.598088723080588,0.2885387395431815,186.48985913423078,3,False,False,False,True,True,False,3,57.5
d6a2e6f8-210c-47db-812b-b9a007297da3,1,20,23.09241169986885,1,5,10,15.717726498221428,41,100,96,9.7,2.9,4.1,4.7,3.8,100.0,13.459547733304834,19.02344414732876,20.061042730628973,114.49714631660505,8,False,False,False,False,False,False,15,63.2
61de2804-485e-4523-9420-95397df31a80,1,21,75.02217889208535,7,4,7,3.9572949596858336,17,52,51,7.9,7.5,3.5,3.7,3.8,100.0,12.564292535665157,22.81613825141354,18.104236362085217,107.85239064633683,1,False,False,False,True,False,False,11,72.0
e55b7e3f-567b-4cfa-8cdc-8c26078397e9,2,21,6.737036791396811,2,1,4,10.712287078954592,31,73,67,3.5,5.7,3.9,4.4,4.6,142.19432280472995,2.029513166498273,25.896615501356173,1.069921936645829,119.3971424065179,8,True,False,False,False,False,False,2,58.8
bcca3575-541a-419b-bf6b-45fd335ce9ee,1,70,39.9277361525877,3,2,3,17.26444109513686,53,103,90,1.0,1.9,4.1,3.7,4.1,100.0,9.69137258219915,23.40106581864481,8.441565319517283,94.73187208307162,11,False,True,False,False,False,False,2,57.6
90b3cf72-fdf8-4eee-b47d-a9548be8b763,3,57,59.84423125725403,11,5,12,25.77148597810852,8,92,96,6.5,8.3,3.6,4.2,4.6,100.0,3.475306070446451,16.767058486187448,5.954653416451627,92.66290100071062,4,False,False,False,True,True,False,12,59.4
